s04q18a,s04q18b,s04q28a,s04q28b,s04q29b,s04q30c,s04q42,s04q43,s04q51b,s04q52c,s04q58,s06q01__1,s06q01__2,s06q01__3,s06q01__4,s06q01__5,s06q02,s06q03,s06q05,s06q07,s06q12,s10q04,s10q05,s10q06,s10q08,s10q17a,s10q31,s10q34,s12q02,s13q09,s13q20,s13q21,s13q22a,s13q22b,ADM3_FR,ADM0_EN,Total_bran,ISIBF_base,Population,Area
2.573150052226139,8.152023253909768,1.657500000000000,6.846534391534392,5.730158730158730,12.777777777777780,1.947368421052632,2631.578947368421268,6.150000000000002,15.675000000000002,11999.933333333332484,2.000000000000000,2.000000000000000,1.978723404255319,2.000000000000000,2.000000000000000,2.000000000000000,1.978723404255319,1.000000000000000,1.956521739130435,4.666666666666668,2.000000000000000,1.416666666666667,2.000000000000000,2.000000000000000,10.565217391304348,2.000000000000000,1.173913043478261,1.907407407407408,0.333333333333333,3.000000000000000,3.200000000000001,103000.000000000000000,4.200000000000000,Tounouga,Niger,0,0.025000000000000,"42849","22830"
6.214630010445228,6.430404650781954,1.657500000000000,6.846534391534394,5.583123543123544,41.109184149184145,1.880000000000000,35879.819999999999709,6.313531868180418,16.761551917995565,36021.011161265509145,1.975673286018114,1.993939393939394,1.994871794871795,2.000000000000000,2.000000000000000,1.381023123425352,1.993103448275862,1.139295392953930,1.953181053181053,5.500000000000000,2.000000000000000,1.583333333333333,1.916666666666667,1.983333333333334,8.637404262404264,1.965277777777778,1.499510212010212,1.884814814814815,0.350000000000000,2.943636363636364,1.840909090909091,38734.848484848487715,3.054545454545454,Gaya,Niger,15,0.975000000000000,"319075","141650"
2.573150052226139,8.152023253909768,1.657500000000000,6.846534391534392,5.717948717948718,16.000000000000000,2.000000000000000,4375.000000000000000,6.272727272727272,11.681818181818182,25000.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.405115617126759,2.000000000000000,1.174119241192412,2.000000000000000,6.000000000000000,2.000000000000000,1.750000000000000,1.833333333333333,1.916666666666667,12.000000000000000,2.000000000000000,1.500000000000000,1.914656771799629,0.416666666666667,3.500000000000000,1.666666666666667,15000.000000000000000,4.833333333333334,Bengou,Niger,0,0.050000000000000,"18469","17540"
3.143287513056535,8.038005813477442,2.693986650485437,6.470856898854472,5.964015151515152,28.437500000000000,1.650814484931826,93980.837869211682118,6.284558823529412,31.760294117647060,57498.656835486646742,0.559482758620690,0.500000000000000,0.512500000000000,0.867692006269593,0.500000000000000,1.552171761424547,1.981250000000000,1.376887725735665,1.904241624069211,5.188622043406760,1.937500000000000,1.854166666666667,2.000000000000000,1.895833333333333,10.110267857142857,1.950000000000000,1.375000000000000,1.866614271971415,0.333333333333333,2.936086472820710,4.179193032860067,34479.275931954223779,3.624508203153572,Tanda,"Niger,Ivory Coast",0,0.029000000000000,"478280","455760"
3.000000000000000,8.666666666666668,1.657500000000000,6.846534391534392,5.683783783783786,18.982972972972973,1.852470612453732,31522.328097830068145,6.428985507246378,12.326086956521738,27517.509301054589741,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.405115617126759,2.000000000000000,1.174119241192412,1.947368421052632,5.745769178760866,2.000000000000000,1.625000000000000,1.916666666666667,1.916666666666667,8.781250000000000,2.000000000000000,1.072916666666667,1.908333333333334,0.083333333333333,3.000000000000000,6.000000000000000,170000.000000000000000,4.500000000000000,Yélou,Niger,0,0.008000000000000,"136808","215800"
1.786575026113070,8.576011626954884,1.328750000000000,7.923267195767196,5.908637873754154,12.899667774086378,1.352470612453732,152688.994764496717835,6.699728260869566,8.489130434782609,55035.018602109179483,1.972222222222222,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.202557808563380,2.000000000000000,1.174119241192412,1.986111111111111,6.000000000000000,1.958333333333334,1.708333333333334,1.958333333333334,2.000000000000000,6.772727272727274,1.954545454545455,1.954545454545455,1.921206967635540,0.583333333333334,3.400000000000000,3.766666666666667,20833.333333333335759,2.866666666666667,Guilladjé,Niger,0,0.002000000000000,"56312","79480"
1.000000000000000,8.333333333333334,1.657500000000000,6.846534391534392,6.068181818181818,2.568181818181818,1.704941224907463,60377.989528993472049,6.666666666666668,9.629629629629630,55035.018602109179483,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.405115617126759,2.000000000000000,1.174119241192412,1.888888888888889,6.000000000000000,1.916666666666667,1.666666666666667,2.000000000000000,2.000000000000000,3.900000000000000,2.000000000000000,1.700000000000000,1.924074074074074,0.500000000000000,3.000000000000000,1.833333333333333,56666.666666666656965,3.000000000000000,Sambéra,Niger,0,0.001000000000000,"50820","106700"
1.000000000000000,8.000000000000000,1.657500000000000,6.846534391534392,6.000000000000000,3.660000000000001,1.704941224907463,60377.989528993472049,6.000000000000000,7.937500000000000,36000.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.405115617126759,2.000000000000000,1.174119241192412,2.000000000000000,6.000000000000000,2.000000000000000,1.909090909090909,1.909090909090909,2.000000000000000,8.000000000000000,2.000000000000000,1.000000000000000,1.939393939393940,0.636363636363636,3.142857142857143,1.571428571428571,38571.428571428572468,3.571428571428571,Gollé,Niger,0,0.006000000000000,"27860","129100"
1.786575026113070,8.576011626954884,1.657500000000000,6.846534391534392,5.750000000000000,15.290873015873016,1.500000000000000,34333.333333333335759,5.657407407407408,22.388888888888889,2000.000000000000000,1.984375000000000,1.984375000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.452557808563380,2.000000000000000,1.174119241192412,1.953125000000000,5.745769178760866,2.000000000000000,1.875000000000000,2.000000000000000,1.875000000000000,11.312500000000000,2.000000000000000,1.062500000000000,1.923053665910809,0.250000000000000,3.750000000000000,4.750000000000000,76750.000000000000000,4.200000000000000,Dioundiou,Niger,0,0.000000000000000,"108314","152960"
1.000000000000000,8.750000000000000,1.453750000000000,6.923267195767196,5.969747899159666,9.473109243697477,1.352470612453732,57688.744764496732387,6.066666666666666,8.042857142857144,54717.509301054589741,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.405115617126759,2.000000000000000,1.174119241192412,1.979591836734694,6.166666666666668,2.000000000000000,1.833333333333334,2.000000000000000,1.958333333333334,5.732323232323232,2.000000000000000,1.000000000000000,1.912962962962963,0.708333333333334,3.000000000000000,1.861538461538462,30384.615384615382936,3.073076923076923,Falmey,Niger,0,0.000000000000000,"150230","229000"
